Employee_ID,Department,Performance_Score,Training_Hours,Salary,Date_of_Joining
101,HR,9,0.0,30000.0,2015-12-31
102,HR,4,0.5,30642.2,2016-12-31
103,Sales,8,0.9,31284.4,2017-12-31
104,Sales,5,1.4,31926.61,2018-12-31
105,IT,6,1.8,32568.81,2019-12-31
106,IT,5,2.3,33211.01,2020-12-31
107,Marketing,7,2.8,33853.21,2021-12-31
108,Sales,4,3.2,34495.41,2022-12-31
109,IT,6,3.7,35137.61,2023-12-31
110,HR,7,4.1,35779.82,2024-12-31
111,Marketing,7,4.6,36422.02,2025-12-31
112,HR,5,5.0,37064.22,2026-12-31
113,IT,6,5.5,37706.42,2027-12-31
114,IT,6,6.0,38348.62,2028-12-31
115,Sales,9,6.4,38990.83,2029-12-31
116,IT,8,6.9,39633.03,2030-12-31
117,IT,8,7.3,40275.23,2031-12-31
118,HR,5,7.8,40917.43,2032-12-31
119,Sales,9,8.3,41559.63,2033-12-31
120,Marketing,7,8.7,42201.83,2034-12-31
121,IT,5,9.2,42844.04,2035-12-31
122,IT,6,9.6,43486.24,2036-12-31
123,IT,6,10.1,44128.44,2037-12-31
124,HR,8,10.6,44770.64,2038-12-31
125,IT,5,11.0,45412.84,2039-12-31
126,Sales,9,11.5,46055.05,2040-12-31
127,HR,5,11.9,46697.25,2041-12-31
128,HR,6,12.4,47339.45,2042-12-31
129,Marketing,5,12.8,47981.65,2043-12-31
130,HR,4,13.3,48623.85,2044-12-31
131,HR,9,13.8,49266.06,2045-12-31
132,Sales,5,14.2,49908.26,2046-12-31
133,Marketing,9,14.7,50550.46,2047-12-31
134,HR,6,15.1,51192.66,2048-12-31
135,IT,6,15.6,51834.86,2049-12-31
136,Marketing,7,16.1,52477.06,2050-12-31
137,Marketing,6,16.5,53119.27,2051-12-31
138,HR,9,17.0,53761.47,2052-12-31
139,Marketing,9,17.4,54403.67,2053-12-31
140,Sales,5,17.9,55045.87,2054-12-31
141,Sales,6,18.3,55688.07,2055-12-31
142,Sales,4,18.8,56330.28,2056-12-31
143,IT,7,19.3,56972.48,2057-12-31
144,Sales,6,19.7,57614.68,2058-12-31
145,Sales,4,20.2,58256.88,2059-12-31
146,IT,7,20.6,58899.08,2060-12-31
147,HR,4,21.1,59541.28,2061-12-31
148,Sales,6,21.6,60183.49,2062-12-31
149,HR,6,22.0,60825.69,2063-12-31
150,IT,5,22.5,61467.89,2064-12-31
151,HR,5,22.9,62110.09,2065-12-31
152,HR,5,23.4,62752.29,2066-12-31
153,HR,8,23.9,63394.5,2067-12-31
154,Marketing,8,24.3,64036.7,2068-12-31
155,Sales,8,24.8,64678.9,2069-12-31
156,Marketing,9,25.2,65321.1,2070-12-31
157,IT,4,25.7,65963.3,2071-12-31
158,Sales,8,26.1,66605.5,2072-12-31
159,Marketing,7,26.6,67247.71,2073-12-31
160,IT,8,27.1,67889.91,2074-12-31
161,Marketing,4,27.5,68532.11,2075-12-31
162,HR,6,28.0,69174.31,2076-12-31
163,Marketing,7,28.4,69816.51,2077-12-31
164,IT,8,28.9,70458.72,2078-12-31
165,Sales,9,29.4,71100.92,2079-12-31
166,IT,9,29.8,71743.12,2080-12-31
167,IT,6,30.3,72385.32,2081-12-31
168,HR,8,30.7,73027.52,2082-12-31
169,HR,4,31.2,73669.72,2083-12-31
170,Sales,7,31.7,74311.93,2084-12-31
171,Sales,4,32.1,74954.13,2085-12-31
172,IT,5,32.6,75596.33,2086-12-31
173,Marketing,9,33.0,76238.53,2087-12-31
174,Marketing,9,33.5,76880.73,2088-12-31
175,HR,8,33.9,77522.94,2089-12-31
176,Sales,8,34.4,78165.14,2090-12-31
177,HR,7,34.9,78807.34,2091-12-31
178,Marketing,9,35.3,79449.54,2092-12-31
179,Sales,5,35.8,80091.74,2093-12-31
180,Sales,8,36.2,80733.94,2094-12-31
181,IT,6,36.7,81376.15,2095-12-31
182,HR,9,37.2,82018.35,2096-12-31
183,Sales,9,37.6,82660.55,2097-12-31
184,IT,7,38.1,83302.75,2098-12-31
185,Sales,6,38.5,83944.95,2099-12-31
186,Sales,8,39.0,84587.16,2100-12-31
187,Marketing,9,39.4,85229.36,2101-12-31
188,Sales,9,39.9,85871.56,2102-12-31
189,IT,5,40.4,86513.76,2103-12-31
190,HR,5,40.8,87155.96,2104-12-31
191,Sales,4,41.3,87798.17,2105-12-31
192,HR,9,41.7,88440.37,2106-12-31
193,Sales,5,42.2,89082.57,2107-12-31
194,Sales,5,42.7,89724.77,2108-12-31
195,Sales,9,43.1,90366.97,2109-12-31
196,Sales,7,43.6,91009.17,2110-12-31
197,IT,7,44.0,91651.38,2111-12-31
198,IT,7,44.5,92293.58,2112-12-31
199,Marketing,7,45.0,92935.78,2113-12-31
200,Sales,8,45.4,93577.98,2114-12-31
201,Sales,9,45.9,94220.18,2115-12-31
202,Marketing,7,46.3,94862.39,2116-12-31
203,Marketing,4,46.8,95504.59,2117-12-31
204,IT,7,47.2,96146.79,2118-12-31
205,IT,9,47.7,96788.99,2119-12-31
206,IT,6,48.2,97431.19,2120-12-31
207,IT,6,48.6,98073.39,2121-12-31
208,HR,5,49.1,98715.6,2122-12-31
209,Marketing,5,49.5,99357.8,2123-12-31
210,IT,9,50.0,100000.0,2124-12-31
101,HR,9,0.0,30000.0,2015-12-31
102,HR,4,0.5,30642.2,2016-12-31
103,Sales,8,0.9,31284.4,2017-12-31
104,Sales,5,1.4,31926.61,2018-12-31
105,IT,6,1.8,32568.81,2019-12-31
106,IT,5,2.3,33211.01,2020-12-31
107,Marketing,7,2.8,33853.21,2021-12-31
108,Sales,4,3.2,34495.41,2022-12-31
109,IT,6,3.7,35137.61,2023-12-31
110,HR,7,4.1,35779.82,2024-12-31
111,Marketing,7,4.6,36422.02,2025-12-31
112,HR,5,5.0,37064.22,2026-12-31
113,IT,6,5.5,37706.42,2027-12-31
114,IT,6,6.0,38348.62,2028-12-31
115,Sales,9,6.4,38990.83,2029-12-31
116,IT,8,6.9,39633.03,2030-12-31
117,IT,8,7.3,40275.23,2031-12-31
118,HR,5,7.8,40917.43,2032-12-31
119,Sales,9,8.3,41559.63,2033-12-31
120,Marketing,7,8.7,42201.83,2034-12-31
121,IT,5,9.2,42844.04,2035-12-31
122,IT,6,9.6,43486.24,2036-12-31
123,IT,6,10.1,44128.44,2037-12-31
124,HR,8,10.6,44770.64,2038-12-31
125,IT,5,11.0,45412.84,2039-12-31
126,Sales,9,11.5,46055.05,2040-12-31
127,HR,5,11.9,46697.25,2041-12-31
128,HR,6,12.4,47339.45,2042-12-31
129,Marketing,5,12.8,47981.65,2043-12-31
130,HR,4,13.3,48623.85,2044-12-31
131,HR,9,13.8,49266.06,2045-12-31
132,Sales,5,14.2,49908.26,2046-12-31
133,Marketing,9,14.7,50550.46,2047-12-31
134,HR,6,15.1,51192.66,2048-12-31
135,IT,6,15.6,51834.86,2049-12-31
136,Marketing,7,16.1,52477.06,2050-12-31
137,Marketing,6,16.5,53119.27,2051-12-31
138,HR,9,17.0,53761.47,2052-12-31
139,Marketing,9,17.4,54403.67,2053-12-31
140,Sales,5,17.9,55045.87,2054-12-31
141,Sales,6,18.3,55688.07,2055-12-31
142,Sales,4,18.8,56330.28,2056-12-31
143,IT,7,19.3,56972.48,2057-12-31
144,Sales,6,19.7,57614.68,2058-12-31
145,Sales,4,20.2,58256.88,2059-12-31
146,IT,7,20.6,58899.08,2060-12-31
147,HR,4,21.1,59541.28,2061-12-31
148,Sales,6,21.6,60183.49,2062-12-31
149,HR,6,22.0,60825.69,2063-12-31
150,IT,5,22.5,61467.89,2064-12-31
151,HR,5,22.9,62110.09,2065-12-31
152,HR,5,23.4,62752.29,2066-12-31
153,HR,8,23.9,63394.5,2067-12-31
154,Marketing,8,24.3,64036.7,2068-12-31
155,Sales,8,24.8,64678.9,2069-12-31
156,Marketing,9,25.2,65321.1,2070-12-31
157,IT,4,25.7,65963.3,2071-12-31
158,Sales,8,26.1,66605.5,2072-12-31
159,Marketing,7,26.6,67247.71,2073-12-31
160,IT,8,27.1,67889.91,2074-12-31
161,Marketing,4,27.5,68532.11,2075-12-31
162,HR,6,28.0,69174.31,2076-12-31
163,Marketing,7,28.4,69816.51,2077-12-31
164,IT,8,28.9,70458.72,2078-12-31
165,Sales,9,29.4,71100.92,2079-12-31
166,IT,9,29.8,71743.12,2080-12-31
167,IT,6,30.3,72385.32,2081-12-31
168,HR,8,30.7,73027.52,2082-12-31
169,HR,4,31.2,73669.72,2083-12-31
170,Sales,7,31.7,74311.93,2084-12-31
